Product_name,offer_price,Original_price,Product_URL
Daniel Jubile,Rs.227,Rs.1499,https://www.flipkart.com/daniel-jubile-arrow-blk-analog-watch-men/p/itmf727764f51414?pid=WATFNVGWZCTFUSHG&lid=LSTWATFNVGWZCTFUSHGIQUSKK&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_11&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFNVGWZCTFUSHG.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Varni Retail,Rs.323,Rs.2299,https://www.flipkart.com/varni-retail-aks-golden-diamond-women-rosara-gold-silver-black-dial-men-couple-combo-watch-watches-analog/p/itm2973687ee4ed5?pid=WATF33MWV9CHJFJH&lid=LSTWATF33MWV9CHJFJHVASI4L&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_12&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF33MWV9CHJFJH.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
SONATA,Rs.999,Rs.1249,https://www.flipkart.com/sonata-77106sm01-analog-watch-men/p/itm72d3a085fc014?pid=WATFK6WV6P2EPZFP&lid=LSTWATFK6WV6P2EPZFPYVREPV&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_13&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFK6WV6P2EPZFP.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Fogg,Rs.498,Rs.2199,https://www.flipkart.com/fogg-7007-3-stylish-different-coloured-watch-combo-analog-men/p/itm65f08d0459ba2?pid=WATFKN27KVJHNMFB&lid=LSTWATFKN27KVJHNMFBIS2ZS7&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_14&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=en_5jXLYf4yLUJ1kyLHsHJL11JzNnTBO8m4K35A1ys3Ohxvh0NsqqV3nnbRZY6EqVPh8P3ZMGl5O2oNGEHpdxs6GA%3D%3D&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
LIMESTONE,Rs.331,Rs.1899,https://www.flipkart.com/limestone-ls2842-mesh-strap-day-date-functioning-all-black-shock-proof-quartz-analog-watch-men/p/itm7060fcfcebde1?pid=WATFJHYGZYEPQU2Y&lid=LSTWATFJHYGZYEPQU2YAG1B5K&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_15&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFJHYGZYEPQU2Y.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Fogg,Rs.331,Rs.1799,https://www.flipkart.com/fogg-2038-wh-day-date-analog-watch-men/p/itm02fe69ccd8751?pid=WATEYKC4PGYQAGNS&lid=LSTWATEYKC4PGYQAGNSONSPWH&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_16&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATEYKC4PGYQAGNS.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
MAXIMA,Rs.349,Rs.1395,https://www.flipkart.com/maxima-l-63064lmgi-elite-analog-watch-men/p/itmd2cc0ad39c9e4?pid=WATFWZ6387R25VZT&lid=LSTWATFWZ6387R25VZTN2JCMI&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_17&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFWZ6387R25VZT.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Fogg,Rs.322,Rs.1699,https://www.flipkart.com/fogg-1164-br-brown-day-date-unique-new-analog-watch-men/p/itmf9vgyghhsrj3m?pid=WATF9VDHRUQTGWQZ&lid=LSTWATF9VDHRUQTGWQZ32NGJP&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_18&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF9VDHRUQTGWQZ.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
MIKADO,Rs.236,Rs.1999,https://www.flipkart.com/mikado-new-arrival-stylish-attractive-ethnic-blue-bracelet-look-analog-watch-girls-women/p/itmffh4urrfenyp4?pid=WATFFH4UZKZB6ZNW&lid=LSTWATFFH4UZKZB6ZNWTNB0S6&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_19&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFFH4UZKZB6ZNW.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
TIMEWEAR,Rs.229,Rs.799,https://www.flipkart.com/timewear-233wdtg-analog-watch-collection-men/p/itmfg3kggezshetu?pid=WATFG3JFZJ2EVPHQ&lid=LSTWATFG3JFZJ2EVPHQYLOQBL&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_20&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=en_5jXLYf4yLUJ1kyLHsHJL11JzNnTBO8m4K35A1ys3OhzVeH9HB9ujZN77CgS2jhZem4vjHJfbbYE3nYKOcZd1%2Bg%3D%3D&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
LIMESTONE,Rs.312,Rs.1999,https://www.flipkart.com/limestone-ls2821-bleed-blue-day-date-functioning-strap-adult-quartz-analog-watch-boys/p/itm5082b2caa2252?pid=WATFHJCZSDYUGCHG&lid=LSTWATFHJCZSDYUGCHGPQBTJF&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_21&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFHJCZSDYUGCHG.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
TIMEWEAR,Rs.359,Rs.2199,https://www.flipkart.com/timewear-192wdtg-slim-series-analog-watch-men/p/itmf0d77ce91be42?pid=WATFGNPCFF4GNXWG&lid=LSTWATFGNPCFF4GNXWGYTAE33&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_22&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFGNPCFF4GNXWG.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
